samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Poo_Syn_Full3,2-O-alpha-D-Glucosylglycerol,228898832,S,Poo,NA,0
240108_Poo_Syn_Half1,2-O-alpha-D-Glucosylglycerol,128754080,S,Poo,NA,0
240108_Poo_Syn_Half2,2-O-alpha-D-Glucosylglycerol,116111832,S,Poo,NA,0
240108_Poo_Syn_Half3,2-O-alpha-D-Glucosylglycerol,122245224,S,Poo,NA,0
240108_Smp_25ppt_A,2-O-alpha-D-Glucosylglycerol,44027364,S,Smp,25,0
240108_Smp_25ppt_B,2-O-alpha-D-Glucosylglycerol,44368340,S,Smp,25,0
240108_Smp_25ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,S,Smp,25,0
240108_Smp_30ppt_A,2-O-alpha-D-Glucosylglycerol,140942704,S,Smp,30,0
240108_Smp_30ppt_B,2-O-alpha-D-Glucosylglycerol,189540896,S,Smp,30,0
240108_Smp_30ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,S,Smp,30,0
240108_Smp_35ppt_A,2-O-alpha-D-Glucosylglycerol,362659168,S,Smp,35,0
240108_Smp_35ppt_B,2-O-alpha-D-Glucosylglycerol,289994720,S,Smp,35,0
240108_Smp_35ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,S,Smp,35,0
240108_Smp_40ppt_A,2-O-alpha-D-Glucosylglycerol,498312000,S,Smp,40,0
240108_Smp_40ppt_B,2-O-alpha-D-Glucosylglycerol,455907200,S,Smp,40,0
240108_Smp_40ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,2-O-alpha-D-Glucosylglycerol,7422168,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,2-O-alpha-D-Glucosylglycerol,10601727,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,2-O-alpha-D-Glucosylglycerol,160473568,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,2-O-alpha-D-Glucosylglycerol,162572288,S,Std,NA,4
240108_Poo_Syn_Full1,4-Aminobutyric acid,228448752,S,Poo,NA,0
240108_Poo_Syn_Full2,4-Aminobutyric acid,167003776,S,Poo,NA,0
240108_Poo_Syn_Full3,4-Aminobutyric acid,191872032,S,Poo,NA,0
240108_Poo_Syn_Half1,4-Aminobutyric acid,194612768,S,Poo,NA,0
240108_Poo_Syn_Half2,4-Aminobutyric acid,274905120,S,Poo,NA,0
240108_Poo_Syn_Half3,4-Aminobutyric acid,369292960,S,Poo,NA,0
240108_Smp_25ppt_A,4-Aminobutyric acid,277661632,S,Smp,25,0
240108_Smp_25ppt_B,4-Aminobutyric acid,136548912,S,Smp,25,0
240108_Smp_25ppt_Blk,4-Aminobutyric acid,615067200,S,Smp,25,0
240108_Smp_30ppt_A,4-Aminobutyric acid,147824208,S,Smp,30,0
240108_Smp_30ppt_B,4-Aminobutyric acid,150320112,S,Smp,30,0
240108_Smp_30ppt_Blk,4-Aminobutyric acid,611842112,S,Smp,30,0
240108_Smp_35ppt_A,4-Aminobutyric acid,171011728,S,Smp,35,0
240108_Smp_35ppt_B,4-Aminobutyric acid,161987984,S,Smp,35,0
240108_Smp_35ppt_Blk,4-Aminobutyric acid,642780864,S,Smp,35,0
240108_Smp_40ppt_A,4-Aminobutyric acid,129680368,S,Smp,40,0
240108_Smp_40ppt_B,4-Aminobutyric acid,139491168,S,Smp,40,0
240108_Smp_40ppt_Blk,4-Aminobutyric acid,696195008,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,4-Aminobutyric acid,613788224,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,4-Aminobutyric acid,853299136,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,4-Aminobutyric acid,1101794560,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,4-Aminobutyric acid,1221666944,S,Std,NA,4
240108_Poo_Syn_Full1,5-Hydroxyectoine,346761,S,Poo,NA,0
240108_Poo_Syn_Full2,5-Hydroxyectoine,673504,S,Poo,NA,0
240108_Poo_Syn_Full3,5-Hydroxyectoine,1384965,S,Poo,NA,0
240108_Poo_Syn_Half1,5-Hydroxyectoine,549185,S,Poo,NA,0
240108_Poo_Syn_Half2,5-Hydroxyectoine,372858,S,Poo,NA,0
240108_Poo_Syn_Half3,5-Hydroxyectoine,1079528,S,Poo,NA,0
240108_Smp_25ppt_A,5-Hydroxyectoine,294615,S,Smp,25,0
240108_Smp_25ppt_B,5-Hydroxyectoine,572428,S,Smp,25,0
240108_Smp_25ppt_Blk,5-Hydroxyectoine,290071,S,Smp,25,0
240108_Smp_30ppt_A,5-Hydroxyectoine,418333,S,Smp,30,0
240108_Smp_30ppt_B,5-Hydroxyectoine,202034,S,Smp,30,0
240108_Smp_30ppt_Blk,5-Hydroxyectoine,591111,S,Smp,30,0
240108_Smp_35ppt_A,5-Hydroxyectoine,767790,S,Smp,35,0
240108_Smp_35ppt_B,5-Hydroxyectoine,542373,S,Smp,35,0
240108_Smp_35ppt_Blk,5-Hydroxyectoine,366711,S,Smp,35,0
240108_Smp_40ppt_A,5-Hydroxyectoine,912610,S,Smp,40,0
240108_Smp_40ppt_B,5-Hydroxyectoine,336949,S,Smp,40,0
240108_Smp_40ppt_Blk,5-Hydroxyectoine,666162,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,5-Hydroxyectoine,211027920,S,Std,NA,0.1
240108_Std_4uMStdsMix2InH2O_2,5-Hydroxyectoine,321621440,S,Std,NA,0.1
240108_Std_4uMStdsMix2InSynMatrix_1,5-Hydroxyectoine,297130912,S,Std,NA,0.1
240108_Std_4uMStdsMix2InSynMatrix_2,5-Hydroxyectoine,344380288,S,Std,NA,0.1
240108_Poo_Syn_Full1,5-Methylcytosine,664430,S,Poo,NA,0
240108_Poo_Syn_Full2,5-Methylcytosine,327760,S,Poo,NA,0
240108_Poo_Syn_Full3,5-Methylcytosine,728978,S,Poo,NA,0
240108_Poo_Syn_Half1,5-Methylcytosine,2646103,S,Poo,NA,0
240108_Poo_Syn_Half2,5-Methylcytosine,2009516,S,Poo,NA,0
240108_Poo_Syn_Half3,5-Methylcytosine,611072,S,Poo,NA,0
240108_Smp_25ppt_A,5-Methylcytosine,1022758,S,Smp,25,0
240108_Smp_25ppt_B,5-Methylcytosine,1609528,S,Smp,25,0
240108_Smp_25ppt_Blk,5-Methylcytosine,472542,S,Smp,25,0
240108_Smp_30ppt_A,5-Methylcytosine,1807942,S,Smp,30,0
240108_Smp_30ppt_B,5-Methylcytosine,1576925,S,Smp,30,0
240108_Smp_30ppt_Blk,5-Methylcytosine,161124,S,Smp,30,0
240108_Smp_35ppt_A,5-Methylcytosine,2352389,S,Smp,35,0
240108_Smp_35ppt_B,5-Methylcytosine,649875,S,Smp,35,0
240108_Smp_35ppt_Blk,5-Methylcytosine,589103,S,Smp,35,0
240108_Smp_40ppt_A,5-Methylcytosine,1536931,S,Smp,40,0
240108_Smp_40ppt_B,5-Methylcytosine,3209418,S,Smp,40,0
240108_Smp_40ppt_Blk,5-Methylcytosine,768813,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,5-Methylcytosine,4406282752,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,5-Methylcytosine,8618733568,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,5-Methylcytosine,2216532224,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,5-Methylcytosine,2308718848,S,Std,NA,4
240108_Poo_Syn_Full1,Acetylcholine,323345,S,Poo,NA,0
240108_Poo_Syn_Full2,Acetylcholine,NA,S,Poo,NA,0
240108_Poo_Syn_Full3,Acetylcholine,203147,S,Poo,NA,0
240108_Poo_Syn_Half1,Acetylcholine,NA,S,Poo,NA,0
240108_Poo_Syn_Half2,Acetylcholine,223512,S,Poo,NA,0
240108_Poo_Syn_Half3,Acetylcholine,571367,S,Poo,NA,0
240108_Smp_25ppt_A,Acetylcholine,90042,S,Smp,25,0
240108_Smp_25ppt_B,Acetylcholine,63537,S,Smp,25,0
240108_Smp_25ppt_Blk,Acetylcholine,0,S,Smp,25,0
