cmpd_name,samp,nm,sal
Adenosine,240108_Smp_40ppt_B,945925937389667e3,40
Adenosine,240108_Smp_40ppt_Blk,2166496306960868,40
Anserine,240108_Poo_Syn_Full1,NA,NA
Anserine,240108_Poo_Syn_Full2,NA,NA
Anserine,240108_Poo_Syn_Full3,NA,NA
Anserine,240108_Poo_Syn_Half1,NA,NA
Anserine,240108_Poo_Syn_Half2,NA,NA
Anserine,240108_Poo_Syn_Half3,NA,NA
Anserine,240108_Smp_25ppt_A,-12369720668782.127,25
Anserine,240108_Smp_25ppt_B,-5704827278363.764,25
Anserine,240108_Smp_25ppt_Blk,-27888664133491.344,25
Anserine,240108_Smp_30ppt_A,NA,30
Anserine,240108_Smp_30ppt_B,NA,30
Anserine,240108_Smp_30ppt_Blk,NA,30
Anserine,240108_Smp_35ppt_A,NA,35
Anserine,240108_Smp_35ppt_B,NA,35
Anserine,240108_Smp_35ppt_Blk,-7700167065895.411,35
Anserine,240108_Smp_40ppt_A,NA,40
Anserine,240108_Smp_40ppt_B,NA,40
Anserine,240108_Smp_40ppt_Blk,-9843620157453.402,40
Arsenobetaine,240108_Poo_Syn_Full1,NA,NA
Arsenobetaine,240108_Poo_Syn_Full2,NA,NA
Arsenobetaine,240108_Poo_Syn_Full3,NA,NA
Arsenobetaine,240108_Poo_Syn_Half1,NA,NA
Arsenobetaine,240108_Poo_Syn_Half2,NA,NA
Arsenobetaine,240108_Poo_Syn_Half3,NA,NA
Arsenobetaine,240108_Smp_25ppt_A,NA,25
Arsenobetaine,240108_Smp_25ppt_B,NA,25
Arsenobetaine,240108_Smp_25ppt_Blk,NA,25
Arsenobetaine,240108_Smp_30ppt_A,NA,30
Arsenobetaine,240108_Smp_30ppt_B,NA,30
Arsenobetaine,240108_Smp_30ppt_Blk,NA,30
Arsenobetaine,240108_Smp_35ppt_A,NA,35
Arsenobetaine,240108_Smp_35ppt_B,NA,35
Arsenobetaine,240108_Smp_35ppt_Blk,16044195509076.975,35
Arsenobetaine,240108_Smp_40ppt_A,NA,40
Arsenobetaine,240108_Smp_40ppt_B,NA,40
Arsenobetaine,240108_Smp_40ppt_Blk,NA,40
Betonicine,240108_Poo_Syn_Full1,2424117565982094.5,NA
Betonicine,240108_Poo_Syn_Full2,3965771990878460,NA
Betonicine,240108_Poo_Syn_Full3,2153470030824873.5,NA
Betonicine,240108_Poo_Syn_Half1,5240929766939244,NA
Betonicine,240108_Poo_Syn_Half2,5173118517580005,NA
Betonicine,240108_Poo_Syn_Half3,3252621627856466,NA
Betonicine,240108_Smp_25ppt_A,2154029494785835.2,25
Betonicine,240108_Smp_25ppt_B,3115236851611794.5,25
Betonicine,240108_Smp_25ppt_Blk,3309791582762077.5,25
Betonicine,240108_Smp_30ppt_A,9289094014517012,30
Betonicine,240108_Smp_30ppt_B,5587339088741229,30
Betonicine,240108_Smp_30ppt_Blk,1281419749068022.8,30
Betonicine,240108_Smp_35ppt_A,13690107826313962,35
Betonicine,240108_Smp_35ppt_B,9385261647398316,35
Betonicine,240108_Smp_35ppt_Blk,4810620142030836,35
Betonicine,240108_Smp_40ppt_A,5079387815297430,40
Betonicine,240108_Smp_40ppt_B,8891836808478254,40
Betonicine,240108_Smp_40ppt_Blk,1671513652001907.2,40
Butyrylcarnitine,240108_Poo_Syn_Full1,0,NA
Butyrylcarnitine,240108_Poo_Syn_Full2,469377339229745.94,NA
Butyrylcarnitine,240108_Poo_Syn_Full3,687631858583835.9,NA
Butyrylcarnitine,240108_Poo_Syn_Half1,633197457096262.5,NA
Butyrylcarnitine,240108_Poo_Syn_Half2,635814937037084,NA
Butyrylcarnitine,240108_Poo_Syn_Half3,306403710263358.44,NA
Butyrylcarnitine,240108_Smp_25ppt_A,974596719227275.9,25
Butyrylcarnitine,240108_Smp_25ppt_B,214254222761534.16,25
Butyrylcarnitine,240108_Smp_25ppt_Blk,425241264991500.25,25
Butyrylcarnitine,240108_Smp_30ppt_A,159402894842346.88,30
Butyrylcarnitine,240108_Smp_30ppt_B,297161976305316.94,30
Butyrylcarnitine,240108_Smp_30ppt_Blk,0,30
Butyrylcarnitine,240108_Smp_35ppt_A,550801998155551.1,35
