samp,cmpd_name,bmis_area,sal,conc
240108_Smp_30ppt_B,5-Methylcytosine,1582387.7209512733,30,0
240108_Smp_30ppt_Blk,5-Methylcytosine,92860.2279949207,30,0
240108_Smp_35ppt_A,5-Methylcytosine,4944192.883277009,35,0
240108_Smp_35ppt_B,5-Methylcytosine,1313162.5272755506,35,0
240108_Smp_35ppt_Blk,5-Methylcytosine,358103.67268399114,35,0
240108_Smp_40ppt_A,5-Methylcytosine,2218931.324518467,40,0
240108_Smp_40ppt_B,5-Methylcytosine,4988959.793124677,40,0
240108_Smp_40ppt_Blk,5-Methylcytosine,518673.56335754006,40,0
240108_Std_4uMStdsMix2InH2O_1,5-Methylcytosine,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,5-Methylcytosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,5-Methylcytosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,5-Methylcytosine,NA,NA,4
240108_Poo_Syn_Full1,Acetylcholine,307994.8774480588,NA,0
240108_Poo_Syn_Full2,Acetylcholine,NA,NA,0
240108_Poo_Syn_Full3,Acetylcholine,201737.97456394718,NA,0
240108_Poo_Syn_Half1,Acetylcholine,NA,NA,0
240108_Poo_Syn_Half2,Acetylcholine,390277.47263327707,NA,0
240108_Poo_Syn_Half3,Acetylcholine,975846.6967773895,NA,0
240108_Smp_25ppt_A,Acetylcholine,75069.28270524781,25,0
240108_Smp_25ppt_B,Acetylcholine,54830.73316828159,25,0
240108_Smp_25ppt_Blk,Acetylcholine,0,25,0
240108_Smp_30ppt_A,Acetylcholine,77321.75051887141,30,0
240108_Smp_30ppt_B,Acetylcholine,32674.612887334664,30,0
240108_Smp_30ppt_Blk,Acetylcholine,37160.260521038574,30,0
240108_Smp_35ppt_A,Acetylcholine,44136.059261129834,35,0
240108_Smp_35ppt_B,Acetylcholine,332222.68944405694,35,0
240108_Smp_35ppt_Blk,Acetylcholine,111991.06986733928,35,0
240108_Smp_40ppt_A,Acetylcholine,517696.0611317849,40,0
240108_Smp_40ppt_B,Acetylcholine,262941.182609288,40,0
240108_Smp_40ppt_Blk,Acetylcholine,327590.1055091224,40,0
240108_Std_4uMStdsMix2InH2O_1,Acetylcholine,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,Acetylcholine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Acetylcholine,NA,NA,4
